English sentence,Swahii Translation
The government has constructed better health centers in rural areas.,Serikali imejenga vituo bora vya afya  vijijini.
His death was so sudden.,Kifo chake kilikuwa ghafla.
Our company celebrated twenty years of existing last year.,Kampuni yetu ilisherehekea miaka ishirini ya  kuwepo mwaka jana.
Many people have lost their lives due to sexually transmitted diseases.,Watu wengi wamepoteza maisha yao  kwa sababu ya magonjwa ya zinaa.
Civil servants receive their pension fund upon retirement.,Wafanyikazi wa umma wanapokea  fedha zao za pensheni juu ya kustaafu.
Teachers are also among civil servants.,Walimu pia ni miongoni mwa watumishi wa umma.
There is a high rate of crime in our village.,Kuna kiwango cha juu cha uhalifu katika kijiji chetu.
Our town has been peaceful for many years.,Jiji letu limekuwa na amani kwa miaka mingi.
Some places are not safe during night time.,Maeneo mengine sio salama wakati wa usiku.
The parliament passes various laws every year.,Bunge hupitisha sheria mbali mbali kila mwaka.
She is the heir to her late grandmother.,Yeye ndiye mrithi wa bibi yake marehemu.
A big number of people lack proper accommodation.,Idadi kubwa ya watu wanakosa malazi sahihi.
Their new house was completed within a period of six months.,Nyumba yao mpya ilikamilishwa ndani ya kipindi cha miezi sita.
A lot of property is lost as a result of land conflicts.,Mali nyingi hupotea kwa sababu ya mizozo ya ardhi.
Land conflicts are so common in many parts of the country.,Migogoro ya ardhi ni ya kawaida sana katika sehemu nyingi za nchi.
This disciplinary committee is better than the previous one.,Kamati hii ya nidhamu ni bora kuliko ile ya zamani.
Today's meeting has delayed to start.,Mkutano wa leo umechelewesha kuanza.
The number of cabinet ministers in the country has increased over the years.,Idadi ya mawaziri wa baraza la mawaziri nchini imeongezeka zaidi ya miaka.
Most industrial waste products destroy the environment.,Bidhaa nyingi za taka za viwandani huharibu mazingira.
Shops have a variety of packaging materials.,Duka zina vifaa mbali mbali vya ufungaji.
Some people's language is difficult to understand.,Lugha ya watu wengine ni ngumu kuelewa.
They made some amendments in their constitution yesterday.,Walifanya marekebisho kadhaa katika katiba yao jana.
Judges are the most important civil servants in the country.,Majaji ndio wafanyikazi  muhimu wa serikali  nchini.
Prices of commodities keep on changing everyday.,Bei ya bidhaa zinabadilika kila siku.
Banks offer loans to people.,Benki hutoa mikopo kwa watu.
Police officers arrested some criminals in our area this morning.,Maafisa wa polisi walikamata wahalifu wengine katika eneo letu asubuhi ya leo.
Illegal possession of a gun is punishable by law.,Milki isiyo halali ya bunduki inaadhibiwa na sheria.
It requires you a good lawyer to win a court case.,Inakuhitaji wakili mzuri kushinda kesi ya korti.
